points_mid,goal_diff_mid,shots_target_for_mid,goals_against_mid,form_index_mid,final_points
22.0,-11.0,57.0,24.0,0.6,39.0
19.0,-14.0,55.0,32.0,0.0666666666666666,45.0
17.0,-7.0,64.0,29.0,0.3333333333333333,41.0
13.0,-12.0,72.0,27.0,0.2,28.0
11.0,-28.0,53.0,43.0,0.2666666666666666,26.0
5.0,-22.0,57.0,32.0,0.2,23.0
47.0,38.0,139.0,12.0,1.0,93.0
41.0,34.0,127.0,16.0,0.6666666666666666,92.0
41.0,29.0,106.0,13.0,0.5333333333333333,74.0
36.0,4.0,98.0,22.0,0.7333333333333333,71.0
35.0,9.0,103.0,23.0,0.8,69.0
31.0,9.0,91.0,25.0,0.4666666666666667,56.0
31.0,3.0,92.0,27.0,0.6666666666666666,58.0
28.0,0.0,63.0,14.0,0.4666666666666667,51.0
27.0,0.0,77.0,20.0,0.5333333333333333,51.0
25.0,-3.0,91.0,36.0,0.4,52.0
23.0,0.0,68.0,27.0,0.4666666666666667,48.0
23.0,-3.0,76.0,26.0,0.4666666666666667,46.0
22.0,-5.0,66.0,30.0,0.4,45.0
21.0,-9.0,75.0,29.0,0.4,40.0
19.0,-10.0,78.0,34.0,0.2666666666666666,39.0
19.0,-16.0,83.0,37.0,0.2666666666666666,38.0
14.0,-14.0,78.0,37.0,0.0666666666666666,23.0
13.0,-11.0,60.0,27.0,0.2,35.0
11.0,-23.0,65.0,42.0,0.2666666666666666,49.0
10.0,-34.0,57.0,42.0,0.0,22.0
50.0,29.0,107.0,16.0,0.8666666666666667,84.0
42.0,30.0,110.0,20.0,0.6666666666666666,89.0
39.0,8.0,100.0,22.0,0.8666666666666667,75.0
38.0,22.0,95.0,11.0,0.7333333333333333,71.0
33.0,10.0,112.0,27.0,0.4666666666666667,60.0
31.0,10.0,107.0,27.0,0.6666666666666666,62.0
31.0,4.0,84.0,28.0,0.8,52.0
29.0,9.0,113.0,25.0,0.4666666666666667,67.0
29.0,4.0,86.0,28.0,0.8666666666666667,59.0
28.0,1.0,77.0,21.0,0.4666666666666667,44.0
25.0,-5.0,79.0,27.0,0.6666666666666666,61.0
23.0,-9.0,73.0,27.0,0.2666666666666666,45.0
20.0,-19.0,59.0,34.0,0.6666666666666666,38.0
18.0,-7.0,76.0,33.0,0.2,31.0
17.0,-7.0,78.0,33.0,0.2,34.0
17.0,-15.0,63.0,27.0,0.4666666666666667,41.0
16.0,-23.0,63.0,41.0,0.2,39.0
15.0,-10.0,74.0,25.0,0.0666666666666666,40.0
15.0,-11.0,67.0,26.0,0.0666666666666666,36.0
15.0,-17.0,69.0,34.0,0.2,25.0
42.0,23.0,116.0,16.0,0.7333333333333333,82.0
40.0,24.0,127.0,21.0,0.6666666666666666,91.0
40.0,18.0,107.0,18.0,0.4666666666666667,89.0
39.0,15.0,100.0,25.0,0.6666666666666666,68.0
36.0,11.0,114.0,28.0,0.6,66.0
33.0,3.0,76.0,30.0,0.8,52.0
31.0,-4.0,85.0,25.0,0.4666666666666667,60.0
30.0,5.0,120.0,33.0,0.5333333333333333,48.0
29.0,12.0,105.0,25.0,0.2,60.0
26.0,-1.0,93.0,25.0,0.6,48.0
25.0,2.0,92.0,29.0,0.4,63.0
25.0,-4.0,77.0,31.0,0.6666666666666666,46.0
25.0,-7.0,93.0,35.0,0.8,48.0
21.0,-8.0,80.0,34.0,0.4,47.0
19.0,-5.0,82.0,31.0,0.0,39.0
18.0,-9.0,76.0,28.0,0.1333333333333333,49.0
17.0,-12.0,65.0,34.0,0.2666666666666666,36.0
15.0,-14.0,57.0,37.0,0.4,26.0
11.0,-20.0,59.0,38.0,0.2666666666666666,24.0
